Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_cm,Filtered_Distance_cm,Signal_Power_dBm
1,417136,10,106.97,107.08,0.00
1,417142,20,102.75,103.90,0.00
1,417148,30,114.01,111.87,0.00
1,417154,40,112.60,146.50,0.00
1,417186,10,109.79,108.43,0.00
1,417192,20,104.63,104.26,0.00
1,417198,30,114.95,113.41,0.00
1,417204,40,203.15,174.83,0.00
1,417236,10,106.97,107.70,0.00
1,417242,20,101.81,103.04,0.00
1,417248,30,114.01,113.71,0.00
1,417254,40,146.85,160.84,0.00
1,417286,10,106.03,106.87,0.00
1,417292,20,105.56,104.30,0.00
1,417298,30,115.89,114.80,0.00
1,417304,40,195.65,178.24,0.00
1,417336,10,107.44,107.15,0.00
1,417342,20,104.16,104.23,0.00
1,417348,30,114.95,114.87,0.00
1,417354,40,111.19,144.72,0.00
1,417386,10,109.32,108.24,0.00
1,417392,20,105.10,104.66,0.00
1,417398,30,117.76,116.32,0.00
1,417404,40,137.00,140.86,0.00
1,417436,10,108.85,108.54,0.00
1,417442,20,105.10,104.88,0.00
1,417447,30,117.29,116.81,0.00
1,417453,40,110.26,125.56,0.00
1,417486,10,107.44,107.99,0.00
1,417492,20,104.16,104.52,0.00
1,417498,30,116.82,116.82,0.00
1,417503,40,187.20,156.38,0.00
1,418036,10,107.91,107.95,0.00
1,418042,20,106.03,105.28,0.00
1,418048,30,113.54,115.18,0.00
1,418054,40,186.73,171.56,0.00
1,418086,10,107.91,107.93,0.00
1,418092,20,106.97,106.12,0.00
1,418097,30,114.01,114.59,0.00
1,418103,40,182.98,177.27,0.00
1,418136,10,106.97,107.45,0.00
1,418142,20,105.56,105.84,0.00
1,418148,30,112.60,113.60,0.00
1,418154,40,183.45,180.36,0.00
1,418186,10,108.38,107.92,0.00
1,418192,20,107.44,106.64,0.00
1,418198,30,113.07,113.33,0.00
1,418204,40,186.26,183.31,0.00
1,418236,10,112.13,110.02,0.00
1,418242,20,109.79,108.22,0.00
1,418247,30,114.95,114.14,0.00
1,418253,40,189.08,186.19,0.00
1,418286,10,111.66,110.84,0.00
1,418292,20,110.26,109.24,0.00
1,418298,30,117.29,115.72,0.00
1,418304,40,189.55,187.87,0.00
1,418336,10,110.26,110.55,0.00
1,418342,20,108.38,108.81,0.00
1,418348,30,117.29,116.51,0.00
1,418354,40,190.02,188.94,0.00
1,418386,10,108.85,109.70,0.00
1,418392,20,106.97,107.89,0.00
1,418398,30,117.76,117.13,0.00
1,418404,40,169.37,179.16,0.00
1,418436,10,110.26,109.98,0.00
1,418442,20,104.16,106.02,0.00
1,418448,30,116.36,116.75,0.00
1,418454,40,173.13,176.14,0.00
1,418486,10,110.26,110.12,0.00
1,418492,20,104.63,105.32,0.00
1,418498,30,119.17,117.96,0.00
1,418504,40,93.37,134.75,0.00
1,419036,10,109.79,109.95,0.00
1,419042,20,104.63,104.98,0.00
1,419048,30,114.95,116.45,0.00
1,419054,40,133.25,134.00,0.00
1,419086,10,108.38,109.17,0.00
1,419092,20,105.10,105.04,0.00
1,419098,30,118.70,117.58,0.00
1,419104,40,96.65,115.33,0.00
1,419136,10,110.73,109.95,0.00
1,419142,20,103.22,104.13,0.00
1,419148,30,114.01,115.79,0.00
1,419154,40,140.75,128.04,0.00
1,419186,10,111.66,110.80,0.00
1,419192,20,101.81,102.97,0.00
1,419197,30,118.70,117.25,0.00
1,419203,40,235.53,181.78,0.00
1,419236,10,112.13,111.47,0.00
1,419242,20,103.69,103.33,0.00
1,419248,30,116.82,117.04,0.00
1,419254,40,206.91,194.34,0.00
1,419286,10,111.19,111.33,0.00
1,419292,20,104.63,103.98,0.00
1,419298,30,116.82,116.93,0.00
1,419304,40,118.23,156.29,0.00
1,419336,10,111.66,111.50,0.00
1,419342,20,100.87,102.43,0.00
1,419348,30,114.95,115.94,0.00
1,419354,40,93.84,125.06,0.00
1,419386,10,113.07,112.28,0.00
1,419392,20,103.22,102.82,0.00
1,419398,30,114.95,115.44,0.00
1,419404,40,137.47,131.27,0.00
1,419436,10,112.60,112.44,0.00
1,419442,20,103.22,103.02,0.00
1,419448,30,116.82,116.13,0.00
1,419454,40,122.46,126.86,0.00
1,419486,10,111.19,111.82,0.00
1,419492,20,106.03,104.53,0.00
1,419498,30,114.48,115.31,0.00
1,419504,40,120.58,123.72,0.00
1,420036,10,108.38,110.10,0.00
1,420042,20,105.10,104.81,0.00
1,420048,30,114.01,114.66,0.00
1,420054,40,158.11,140.92,0.00
1,420086,10,109.79,109.94,0.00
1,420092,20,101.34,103.08,0.00
1,420098,30,109.32,111.99,0.00
1,420104,40,151.54,146.23,0.00
1,420136,10,110.26,110.10,0.00
1,420142,20,101.81,102.44,0.00
1,420148,30,110.26,111.12,0.00
1,420154,40,169.84,158.04,0.00
1,420186,10,112.13,111.12,0.00
1,420192,20,101.81,102.13,0.00
1,420198,30,112.13,111.63,0.00
1,420204,40,139.81,148.93,0.00
1,420235,10,112.13,111.62,0.00
1,420242,20,104.16,103.14,0.00
1,420248,30,110.73,111.18,0.00
1,420254,40,173.13,161.03,0.00
1,420286,10,111.19,111.41,0.00
1,420292,20,101.34,102.24,0.00
1,420298,30,114.01,112.59,0.00
1,420303,40,131.84,146.43,0.00
1,420336,10,109.79,110.60,0.00
1,420342,20,104.63,103.43,0.00
1,420348,30,110.26,111.42,0.00
1,420354,40,180.63,163.53,0.00
1,420386,10,109.79,110.19,0.00
1,420392,20,105.10,104.26,0.00
1,420398,30,109.32,110.37,0.00
1,420404,40,178.29,170.91,0.00
1,420436,10,108.85,109.52,0.00
1,420442,20,104.16,104.21,0.00
1,420448,30,107.91,109.14,0.00
1,420454,40,179.69,175.30,0.00
1,420486,10,110.73,110.12,0.00
1,420492,20,103.22,103.71,0.00
1,420498,30,106.03,107.59,0.00
1,420504,40,185.79,180.55,0.00
1,421036,10,113.54,111.83,0.00
1,421042,20,104.16,103.94,0.00
1,421048,30,109.32,108.45,0.00
1,421054,40,199.87,190.21,0.00
1,421086,10,110.73,111.28,0.00
1,421092,20,101.81,102.87,0.00
1,421098,30,108.38,108.42,0.00
1,421104,40,170.31,180.26,0.00
1,421136,10,112.60,111.94,0.00
1,421142,20,104.63,103.75,0.00
1,421147,30,106.97,107.69,0.00
1,421153,40,197.99,189.13,0.00
1,421186,10,113.54,112.74,0.00
1,421192,20,104.63,104.19,0.00
1,421197,30,107.44,107.57,0.00
1,421203,40,203.62,196.37,0.00
1,421236,10,113.07,112.91,0.00
1,421242,20,105.10,104.64,0.00
1,421247,30,110.73,109.15,0.00
1,421253,40,192.36,194.37,0.00
1,421286,10,113.07,112.99,0.00
1,421292,20,102.75,103.70,0.00
1,421297,30,108.85,109.00,0.00
1,421303,40,164.68,179.52,0.00
1,421336,10,113.07,113.03,0.00
1,421342,20,102.75,103.22,0.00
1,421348,30,111.19,110.10,0.00
1,421354,40,156.24,167.88,0.00
1,421386,10,112.13,112.58,0.00
1,421392,20,101.81,102.52,0.00
1,421398,30,110.73,110.41,0.00
1,421404,40,188.61,178.24,0.00
1,421436,10,112.60,112.59,0.00
1,421442,20,101.81,102.16,0.00
1,421448,30,111.66,111.04,0.00
1,421453,40,178.76,178.50,0.00
1,421486,10,113.07,112.83,0.00
1,421492,20,102.28,102.22,0.00
1,421498,30,114.48,112.76,0.00
1,421504,40,183.92,181.21,0.00
1,422035,10,106.97,109.90,0.00
1,422042,20,105.56,103.89,0.00
1,422048,30,112.13,112.45,0.00
1,422054,40,159.99,170.60,0.00
1,422085,10,108.85,109.38,0.00
1,422091,20,105.10,104.49,0.00
1,422097,30,112.60,112.52,0.00
1,422103,40,186.26,178.43,0.00
1,422135,10,109.79,109.58,0.00
1,422141,20,103.69,104.09,0.00
1,422147,30,113.54,113.03,0.00
1,422153,40,187.67,183.05,0.00
1,422185,10,108.85,109.22,0.00
1,422191,20,102.28,103.19,0.00
1,422197,30,113.54,113.29,0.00
1,422203,40,187.20,185.13,0.00
1,422235,10,106.97,108.09,0.00
1,422241,20,104.16,103.67,0.00
1,422247,30,116.36,114.82,0.00
1,422253,40,189.08,187.10,0.00
1,422286,10,109.32,108.71,0.00
1,422292,20,103.69,103.68,0.00
1,422298,30,110.73,112.77,0.00
1,422304,40,162.80,174.95,0.00
1,422336,10,111.19,109.95,0.00
1,422342,20,102.75,103.21,0.00
1,422348,30,111.66,112.22,0.00
1,422354,40,190.49,182.72,0.00
1,422386,10,110.26,110.10,0.00
1,422392,20,104.16,103.69,0.00
1,422398,30,112.60,112.41,0.00
1,422404,40,193.30,188.01,0.00
1,422436,10,110.73,110.41,0.00
1,422442,20,102.75,103.22,0.00
1,422448,30,112.13,112.27,0.00
1,422454,40,194.24,191.12,0.00
1,422486,10,111.66,111.04,0.00
1,422492,20,105.10,104.16,0.00
1,422498,30,115.89,114.08,0.00
1,422504,40,168.43,179.78,0.00
1,423036,10,109.32,110.18,0.00
1,423042,20,101.81,102.98,0.00
1,423048,30,116.82,115.45,0.00
1,423054,40,180.63,180.21,0.00
1,423086,10,106.50,108.34,0.00
1,423092,20,103.22,103.10,0.00
1,423098,30,114.01,114.73,0.00
1,423103,40,141.69,160.95,0.00
1,423135,10,107.91,108.13,0.00
1,423141,20,102.75,102.93,0.00
1,423147,30,118.23,116.48,0.00
1,423153,40,186.26,173.61,0.00
1,423186,10,108.85,108.49,0.00
1,423192,20,102.28,102.60,0.00
1,423198,30,116.82,116.65,0.00
1,423204,40,180.16,176.88,0.00
1,423236,10,107.91,108.20,0.00
1,423242,20,103.69,103.15,0.00
1,423248,30,112.60,114.63,0.00
1,423254,40,189.08,182.98,0.00
1,423286,10,110.26,109.23,0.00
1,423292,20,105.56,104.36,0.00
1,423298,30,115.42,115.02,0.00
1,423304,40,214.41,198.70,0.00
1,423336,10,110.26,109.74,0.00
1,423342,20,101.34,102.85,0.00
1,423348,30,114.95,114.99,0.00
1,423354,40,170.78,184.74,0.00
1,423386,10,111.66,110.70,0.00
1,423392,20,102.75,102.80,0.00
1,423398,30,114.95,114.97,0.00
1,423404,40,192.83,188.79,0.00
1,423436,10,109.79,110.25,0.00
1,423442,20,102.75,102.77,0.00
1,423448,30,116.82,115.90,0.00
1,423454,40,191.42,190.10,0.00
1,423486,10,108.85,109.55,0.00
1,423492,20,102.28,102.53,0.00
1,423498,30,116.36,116.13,0.00
1,423504,40,185.32,187.71,0.00
1,424036,10,107.44,108.49,0.00
1,424042,20,107.44,104.98,0.00
1,424048,30,108.85,112.49,0.00
1,424054,40,166.56,177.14,0.00
1,424086,10,105.56,107.03,0.00
1,424092,20,107.91,106.45,0.00
1,424098,30,108.85,110.67,0.00
1,424104,40,167.50,172.32,0.00
1,424135,10,107.91,107.47,0.00
1,424141,20,108.85,107.65,0.00
1,424147,30,110.26,110.46,0.00
1,424153,40,158.58,165.45,0.00
1,424185,10,109.32,108.39,0.00
1,424191,20,109.32,108.48,0.00
1,424197,30,108.85,109.66,0.00
1,424203,40,164.68,165.06,0.00
1,424235,10,108.38,108.39,0.00
1,424241,20,113.07,110.78,0.00
1,424247,30,106.50,108.08,0.00
1,424253,40,161.87,163.47,0.00
1,424285,10,106.03,107.21,0.00
1,424291,20,108.85,109.81,0.00
1,424298,30,104.63,106.35,0.00
1,424303,40,160.93,162.20,0.00
1,424335,10,106.50,106.86,0.00
1,424341,20,105.56,107.69,0.00
1,424347,30,108.38,107.37,0.00
1,424353,40,163.27,162.73,0.00
1,424385,10,104.16,105.51,0.00
1,424391,20,113.07,110.38,0.00
1,424398,30,105.10,106.23,0.00
1,424404,40,161.87,162.30,0.00
1,424436,10,105.10,105.30,0.00
1,424442,20,108.85,109.61,0.00
1,424448,30,105.56,105.90,0.00
1,424454,40,160.46,161.38,0.00
1,424485,10,105.10,105.20,0.00
1,424492,20,110.73,110.17,0.00
1,424498,30,104.63,105.26,0.00
1,424503,40,157.64,159.51,0.00
1,425037,10,106.03,105.62,0.00
1,425043,20,109.79,109.98,0.00
1,425049,30,98.06,101.66,0.00
1,425055,40,162.34,160.92,0.00
1,425087,10,103.69,104.65,0.00
1,425093,20,112.13,111.06,0.00
1,425099,30,98.53,100.09,0.00
1,425105,40,160.46,160.69,0.00
1,425137,10,105.56,105.11,0.00
1,425143,20,106.50,108.78,0.00
1,425149,30,100.40,100.25,0.00
1,425155,40,162.34,161.51,0.00
1,425187,10,100.87,102.99,0.00
1,425193,20,109.32,109.05,0.00
1,425199,30,95.71,97.98,0.00
1,425205,40,160.46,160.99,0.00
1,425237,10,104.16,103.57,0.00
1,425243,20,113.54,111.29,0.00
1,425249,30,96.65,97.32,0.00
1,425255,40,163.74,162.36,0.00
1,425287,10,104.63,104.10,0.00
1,425292,20,110.26,110.78,0.00
1,425298,30,99.00,98.16,0.00
1,425304,40,164.21,163.29,0.00
1,425337,10,101.34,102.72,0.00
1,425343,20,111.66,111.22,0.00
1,425349,30,96.18,97.17,0.00
1,425355,40,164.21,163.75,0.00
1,425387,10,101.81,102.27,0.00
1,425393,20,110.73,110.97,0.00
1,425399,30,97.12,97.14,0.00
1,425405,40,162.80,163.28,0.00
1,425437,10,101.81,102.04,0.00
1,425443,20,110.26,110.61,0.00
1,425448,30,98.53,97.84,0.00
1,425454,40,163.74,163.51,0.00
1,425487,10,100.40,101.22,0.00
1,425493,20,109.79,110.20,0.00
1,425499,30,95.24,96.54,0.00
1,425504,40,143.57,153.54,0.00
1,426037,10,100.87,101.05,0.00
1,426043,20,113.07,111.64,0.00
1,426049,30,96.18,96.36,0.00
1,426055,40,163.27,158.41,0.00
1,426087,10,102.75,101.90,0.00
1,426093,20,108.38,110.01,0.00
1,426099,30,98.06,97.21,0.00
1,426105,40,161.87,160.14,0.00
1,426137,10,104.63,103.26,0.00
1,426143,20,111.19,110.60,0.00
1,426149,30,96.18,96.70,0.00
1,426155,40,163.27,161.70,0.00
1,426187,10,101.34,102.30,0.00
1,426193,20,112.60,111.60,0.00
1,426199,30,94.77,95.73,0.00
1,426205,40,164.21,162.96,0.00
1,426237,10,103.69,103.00,0.00
1,426243,20,110.73,111.16,0.00
1,426249,30,98.06,96.90,0.00
1,426255,40,162.80,162.88,0.00
1,426287,10,100.87,101.93,0.00
1,426293,20,110.26,110.71,0.00
1,426299,30,97.59,97.24,0.00
1,426305,40,148.26,155.57,0.00
1,426337,10,99.47,100.70,0.00
1,426343,20,109.32,110.01,0.00
1,426349,30,93.84,95.54,0.00
1,426355,40,169.84,162.71,0.00
1,426387,10,99.47,100.08,0.00
1,426393,20,107.44,108.73,0.00
1,426399,30,98.06,96.80,0.00
1,426405,40,167.97,165.34,0.00
1,426437,10,102.28,101.18,0.00
